type_objectid,latitude,longitude,type,type_code
orinks_1,43.4671507786903,-80.5320100779733,orinks,0
orinks_2,43.4640951002643,-80.5326245667567,orinks,0
orinks_3,43.4740477573145,-80.5110515138841,orinks,0
orinks_4,43.4857893560504,-80.493107312398,orinks,0
orinks_5,43.5194181218331,-80.5022179152192,orinks,0
orinks_6,43.4889024415718,-80.5446599376148,orinks,0
orinks_7,43.4877461533929,-80.5475183096939,orinks,0
orinks_8,43.4845680393694,-80.5177041501487,orinks,0
orinks_9,43.487469492768,-80.5212631387584,orinks,0
orinks_10,43.4954489552013,-80.5230697829198,orinks,0
orinks_11,43.4934293617034,-80.5021453974459,orinks,0
orinks_12,43.4938464492425,-80.4937909554158,orinks,0
orinks_13,43.4893700552007,-80.4895491395799,orinks,0
orinks_14,43.4881705051397,-80.4843044853565,orinks,0
orinks_15,43.4931827356355,-80.4828318573296,orinks,0
orinks_16,43.4999792765021,-80.49586495328,orinks,0
orinks_17,43.4999918209026,-80.4919891280066,orinks,0
orinks_18,43.5053184969965,-80.5058030537721,orinks,0
orinks_19,43.5079277025,-80.504863612191,orinks,0
orinks_20,43.5087807281229,-80.5014717554627,orinks,0
orinks_21,43.5152146761722,-80.5030648940347,orinks,0
orinks_22,43.5138154031518,-80.5011317527857,orinks,0
orinks_23,43.5154459994811,-80.5057676610884,orinks,0
orinks_24,43.5126865107188,-80.5152164292565,orinks,0
orinks_25,43.5086162516637,-80.5226839271007,orinks,0
orinks_26,43.4952914344361,-80.5169310511305,orinks,0
orinks_27,43.5002363789043,-80.5193293798855,orinks,0
orinks_28,43.4952328248457,-80.5077499431769,orinks,0
orinks_29,43.489515816327,-80.5015310398357,orinks,0
orinks_30,43.4704718698392,-80.5188134096724,orinks,0
orinks_31,43.4677405185276,-80.5111715559617,orinks,0
orinks_32,43.4633613646293,-80.5150265532331,orinks,0
orinks_33,43.4604850120435,-80.5242389806178,orinks,0
orinks_34,43.4553494087691,-80.5415494176055,orinks,0
orinks_35,43.4496479341016,-80.5502706549872,orinks,0
orinks_36,43.4438122899559,-80.5529296644571,orinks,0
orinks_37,43.447180974438,-80.5567784326549,orinks,0
orinks_38,43.4418207774323,-80.5498004700011,orinks,0
orinks_39,43.4470612411365,-80.5449573729435,orinks,0
orinks_40,43.4441048150902,-80.5622999210174,orinks,0
orinks_41,43.4502347249555,-80.5646598324875,orinks,0
orinks_42,43.4522444356908,-80.5632235824096,orinks,0
orinks_43,43.4518401500898,-80.5708526447745,orinks,0
orinks_44,43.4522068783495,-80.5732283921799,orinks,0
orinks_45,43.4488651735075,-80.5760953996829,orinks,0
orinks_46,43.4477517315988,-80.5704421064644,orinks,0
orinks_47,43.4569340296587,-80.5782882956628,orinks,0
orinks_48,43.4549197655305,-80.5836796515049,orinks,0
orinks_49,43.4566578552817,-80.5851672260112,orinks,0
orinks_50,43.469114952102,-80.5720492388561,orinks,0
orinks_51,43.4648055581233,-80.5857754073231,orinks,0
orinks_52,43.464129984876,-80.5875775563901,orinks,0
orinks_53,43.4644248668634,-80.5889102567597,orinks,0
orinks_54,43.4655644131082,-80.5874924568846,orinks,0
orinks_55,43.4657171344334,-80.5907206110611,orinks,0
orinks_56,43.464617236071,-80.5900822044889,orinks,0
orinks_57,43.4627860159368,-80.591020234981,orinks,0
orinks_58,43.4617882632771,-80.5882607983513,orinks,0
orinks_59,43.4613398638618,-80.5922139343883,orinks,0
orinks_60,43.4671962535989,-80.5922949963985,orinks,0
orinks_61,43.4732057682841,-80.5970624604675,orinks,0
orinks_62,43.472604816029,-80.5991945025941,orinks,0
orinks_63,43.4713595557737,-80.5858186541494,orinks,0
orinks_64,43.4748780958229,-80.5903745801766,orinks,0
orinks_65,43.473167457525,-80.6018193455277,orinks,0
orinks_66,43.4709274818993,-80.6016704918929,orinks,0
orinks_67,43.4622829498189,-80.6048358706632,orinks,0
orinks_68,43.4597509415777,-80.561517857134,orinks,0
orinks_69,43.4660079852986,-80.5582195950898,orinks,0
orinks_70,43.4787374349464,-80.5608910091929,orinks,0
orinks_71,43.4904849224039,-80.5630183796066,orinks,0
orinks_72,43.4864000765356,-80.5560894544395,orinks,0
orinks_73,43.4925625890676,-80.5672705941107,orinks,0
orinks_74,43.489068587987,-80.5885191300139,orinks,0
orinks_75,43.492723998751,-80.5757206176175,orinks,0
orinks_76,43.4972097603793,-80.5624494896687,orinks,0
orinks_77,43.4986041541325,-80.5708043834936,orinks,0
orinks_78,43.4982285479367,-80.5549632984465,orinks,0
orinks_79,43.4705983959435,-80.5969286233794,orinks,0
orinks_80,43.4719546932284,-80.5959227678691,orinks,0
orinks_81,43.4742598812367,-80.499676899658,orinks,0
orinks_82,43.4880081356645,-80.5521589847708,orinks,0
orinks_83,43.4865899169609,-80.6034748838123,orinks,0
orinks_84,43.501113680255,-80.4969501619611,orinks,0
orinks_85,43.4823230933958,-80.5081679807461,orinks,0
orinks_86,43.5050381269977,-80.5265685112704,orinks,0
orinks_87,43.472015087771,-80.5869917582366,orinks,0
orinks_88,43.5093405046926,-80.5037604647999,orinks,0
orinks_89,43.4793222526369,-80.5289828580066,orinks,0
orinks_90,43.4899885111148,-80.5686054880959,orinks,0
orinks_91,43.468003888551,-80.52557922175,orinks,0
orinks_92,43.4596145336792,-80.5688083205,orinks,0
orinks_93,43.4961599891169,-80.4950341304192,orinks,0
orinks_94,43.4627290366352,-80.5245187461934,orinks,0
orinks_95,43.484315318615,-80.5514529367158,orinks,0
orinks_96,43.4833724623061,-80.4967174040114,orinks,0
orinks_97,43.5016046199157,-80.5610970311786,orinks,0
orinks_98,43.4691626584615,-80.5950555982709,orinks,0
orinks_99,43.4901837302041,-80.5248260483056,orinks,0
orinks_100,43.4612114059406,-80.5212579967617,orinks,0
orinks_101,43.4916892164934,-80.5100540155689,orinks,0
orinks_102,43.466529355246,-80.5241926510919,orinks,0
orinks_103,43.4647065114951,-80.5785208720945,orinks,0
orinks_104,43.4565171468611,-80.550847790988,orinks,0
orinks_105,43.4634245103306,-80.5535978086619,orinks,0
orinks_106,43.4536804135437,-80.5733201015155,orinks,0
orinks_107,43.486028558767,-80.5449447230065,orinks,0
orinks_108,43.46341634547,-80.5891178379351,orinks,0
orinks_109,43.4546396784371,-80.5848481174434,orinks,0
orinks_110,43.4892369728651,-80.5280334613632,orinks,0
orinks_111,43.4642505020124,-80.5592251402964,orinks,0
orinks_112,43.5215494467552,-80.492544319309,orinks,0
orinks_113,43.4627309548315,-80.5883974024752,orinks,0
orinks_114,43.4615927316092,-80.5208653738025,orinks,0
orinks_115,43.4889533283621,-80.5185531155514,orinks,0
orinks_116,43.4729371432613,-80.586055490196,orinks,0
orinks_117,43.4587208362774,-80.5452230063061,orinks,0
orinks_118,43.5029998197032,-80.4933569182097,orinks,0
orinks_119,43.4568484488588,-80.5524312747852,orinks,0
orinks_120,43.4617904079739,-80.5459909033966,orinks,0
orinks_121,43.459636255462,-80.5215494593907,orinks,0
orinks_122,43.4766704403569,-80.5949849221587,orinks,0
orinks_123,43.4604666796194,-80.5725150621113,orinks,0
orinks_124,43.4604088774181,-80.5880571888083,orinks,0
orinks_125,43.4544694943176,-80.5813319854499,orinks,0
orinks_126,43.4928614802487,-80.4877708359831,orinks,0
orinks_127,43.4650170908312,-80.524319241859,orinks,0
orinks_128,43.5128775330091,-80.5093401910641,orinks,0
orinks_129,43.5141921746789,-80.5044264198914,orinks,0
orinks_130,43.489292403086,-80.5423464526812,orinks,0
orinks_131,43.457828727714,-80.5833377238359,orinks,0
orinks_132,43.4604735897756,-80.545466228965,orinks,0
orinks_133,43.463930273882,-80.5223817667375,orinks,0
orinks_134,43.4857272802981,-80.542471752715,orinks,0
orinks_135,43.466954653242,-80.5968811196923,orinks,0
orinks_136,43.4560821039319,-80.5860475396761,orinks,0
orinks_137,43.4906572946519,-80.5900305907694,orinks,0
orinks_138,43.4771586439153,-80.5035741685115,orinks,0
orinks_139,43.4614296115243,-80.5902020715816,orinks,0
orinks_140,43.4646034346853,-80.5673759880005,orinks,0
orinks_141,43.4864025991417,-80.4855785397017,orinks,0
orinks_142,43.4515593479164,-80.5793829837179,orinks,0
orinks_143,43.4885879920547,-80.5362055139558,orinks,0
orinks_144,43.4663385715887,-80.5794476106732,orinks,0
orinks_145,43.4892648422332,-80.5546603846773,orinks,0
orinks_146,43.4744036048799,-80.5062429175405,orinks,0
orinks_147,43.4757778236196,-80.5281030571286,orinks,0
orinks_148,43.4608586256463,-80.5973275484397,orinks,0
orinks_149,43.4705336776725,-80.603034914517,orinks,0
orinks_150,43.4796379903394,-80.514716284673,orinks,0
orinks_151,43.5141268610385,-80.5123645078871,orinks,0
orinks_152,43.4581386215358,-80.5842958956262,orinks,0
orinks_153,43.4913963336743,-80.5545845940399,orinks,0
orinks_154,43.489833654844,-80.5618034171095,orinks,0
orinks_155,43.4964533211657,-80.5650108998492,orinks,0
orinks_156,43.4859799310646,-80.5341770090096,orinks,0
orinks_157,43.484182196711,-80.5302073532778,orinks,0
orinks_158,43.4739109784689,-80.5022262089221,orinks,0
orinks_159,43.4646690889658,-80.5120246018059,orinks,0
orinks_160,43.458953449624,-80.53028035352,orinks,0
orinks_161,43.4550619825982,-80.5335129539194,orinks,0
orinks_162,43.4598452024505,-80.5459655690498,orinks,0
orinks_163,43.4607904258633,-80.552462682979,orinks,0
orinks_164,43.4583348503022,-80.5643908524628,orinks,0
orinks_165,43.4447751182537,-80.5604005230336,orinks,0
orinks_166,43.4452036497734,-80.553737488024,orinks,0
orinks_167,43.4505551778085,-80.5772864745098,orinks,0
orinks_168,43.4692506323429,-80.5755342965468,orinks,0
orinks_169,43.4916972457506,-80.5060996100121,orinks,0
orinks_170,43.4952970484795,-80.4941917311314,orinks,0
orinks_171,43.5071182305461,-80.5065758630042,orinks,0
orinks_172,43.5134007463905,-80.5044101103647,orinks,0
orinks_173,43.4521183828882,-80.5907915184807,orinks,0
playgrounds_1,43.515394546,-80.505639812,playgrounds,1
playgrounds_2,43.4522678010001,-80.5733352999999,playgrounds,1
playgrounds_3,43.461411093,-80.59213177,playgrounds,1
playgrounds_4,43.466950099,-80.530911305,playgrounds,1
playgrounds_5,43.4876873810001,-80.547816541,playgrounds,1
playgrounds_6,43.5190339960001,-80.5117049419999,playgrounds,1
playgrounds_7,43.493455553,-80.5024961619999,playgrounds,1
playgrounds_8,43.4565673710001,-80.585333025,playgrounds,1
playgrounds_9,43.488148848,-80.484270008,playgrounds,1
playgrounds_10,43.495433274,-80.517091302,playgrounds,1
playgrounds_11,43.4620991630001,-80.6049336739999,playgrounds,1
playgrounds_12,43.4929654110001,-80.575578862,playgrounds,1
playgrounds_13,43.492460195,-80.567262697,playgrounds,1
playgrounds_14,43.5138748470001,-80.500891827,playgrounds,1
playgrounds_15,43.4710650150001,-80.60157771,playgrounds,1
playgrounds_16,43.498580041,-80.570832404,playgrounds,1
playgrounds_17,43.4827446910001,-80.491609055,playgrounds,1
playgrounds_18,43.461989972,-80.5988219609999,playgrounds,1
playgrounds_19,43.443899623,-80.5618530309999,playgrounds,1
playgrounds_20,43.4419232720001,-80.54989619,playgrounds,1
playgrounds_21,43.4671085080001,-80.59216958,playgrounds,1
playgrounds_22,43.457532358,-80.596100672,playgrounds,1
playgrounds_23,43.4571943830001,-80.577759449,playgrounds,1
playgrounds_24,43.4886806870001,-80.521797914,playgrounds,1
playgrounds_25,43.465784796,-80.5906510519999,playgrounds,1
playgrounds_26,43.4645955,-80.590258116,playgrounds,1
playgrounds_27,43.504775431,-80.505832912,playgrounds,1
playgrounds_28,43.5199291710001,-80.497892281,playgrounds,1
playgrounds_29,43.468738726,-80.57205333,playgrounds,1
playgrounds_30,43.5087122780001,-80.500935875,playgrounds,1
playgrounds_31,43.4548640030001,-80.583663889,playgrounds,1
playgrounds_32,43.4981758370001,-80.555283872,playgrounds,1
playgrounds_33,43.46044428,-80.5241580049999,playgrounds,1
playgrounds_34,43.4645240660001,-80.588665786,playgrounds,1
playgrounds_35,43.4652657090001,-80.534068724,playgrounds,1
playgrounds_36,43.4732503910001,-80.597124894,playgrounds,1
playgrounds_37,43.493198514,-80.482727992,playgrounds,1
playgrounds_38,43.4746309350001,-80.596496786,playgrounds,1
playgrounds_39,43.4670449880001,-80.528395496,playgrounds,1
playgrounds_40,43.4975254300001,-80.561283761,playgrounds,1
playgrounds_41,43.499634298,-80.518899628,playgrounds,1
playgrounds_42,43.4551853740001,-80.5415263849999,playgrounds,1
playgrounds_43,43.4618656490001,-80.5557919399999,playgrounds,1
playgrounds_44,43.447859834,-80.5704604919999,playgrounds,1
playgrounds_45,43.4716646750001,-80.585578846,playgrounds,1
playgrounds_46,43.4544353690001,-80.581207552,playgrounds,1
playgrounds_47,43.449801087,-80.5647691029999,playgrounds,1
playgrounds_48,43.46606825,-80.558075193,playgrounds,1
playgrounds_49,43.4566837240001,-80.57872952,playgrounds,1
playgrounds_50,43.490650809,-80.59000358,playgrounds,1
playgrounds_51,43.464897766,-80.5856095839999,playgrounds,1
playgrounds_52,43.4618506840001,-80.588286123,playgrounds,1
playgrounds_53,43.48928412,-80.5888760839999,playgrounds,1
playgrounds_54,43.451698003,-80.570350014,playgrounds,1
playgrounds_55,43.4890320710001,-80.489864789,playgrounds,1
playgrounds_56,43.4474215550001,-80.5570191049999,playgrounds,1
playgrounds_57,43.4633027310001,-80.5148312699999,playgrounds,1
playgrounds_58,43.499504458,-80.494551004,playgrounds,1
playgrounds_59,43.499957974,-80.491920217,playgrounds,1
playgrounds_60,43.4642415440001,-80.587378332,playgrounds,1
playgrounds_61,43.5088064970001,-80.522498319,playgrounds,1
playgrounds_62,43.5151741270001,-80.503050145,playgrounds,1
playgrounds_63,43.5124711510001,-80.515503015,playgrounds,1
playgrounds_64,43.508191164,-80.504983021,playgrounds,1
playgrounds_65,43.475141593,-80.512771702,playgrounds,1
playgrounds_66,43.4700909060001,-80.5962531709999,playgrounds,1
playgrounds_67,43.462825697,-80.590881607,playgrounds,1
playgrounds_68,43.486436337,-80.5561638619999,playgrounds,1
playgrounds_69,43.467634994,-80.51113667,playgrounds,1
playgrounds_70,43.473123586,-80.60175101,playgrounds,1
playgrounds_71,43.515153701,-80.50756404,playgrounds,1
playgrounds_72,43.4953283880001,-80.523660518,playgrounds,1
playgrounds_73,43.460068585,-80.562494108,playgrounds,1
playgrounds_74,43.467582931,-80.5304003429999,playgrounds,1
playgrounds_75,43.494225038,-80.494249032,playgrounds,1
playgrounds_76,43.4706885750001,-80.518236171,playgrounds,1
playgrounds_77,43.465624313,-80.58727664,playgrounds,1
playgrounds_78,43.4785728030001,-80.559811313,playgrounds,1
playgrounds_79,43.474749527,-80.59028735,playgrounds,1
playgrounds_80,43.472612412,-80.5991028129999,playgrounds,1
playgrounds_81,43.490439811,-80.5015668359999,playgrounds,1
playgrounds_82,43.448894948,-80.576113596,playgrounds,1
playgrounds_83,43.4494338280001,-80.550163243,playgrounds,1
poi_1,43.45777072501515,-80.51689982113503,poi,2
poi_2,43.475825156065405,-80.5405192235777,poi,2
poi_3,43.46068378659054,-80.51927811637115,poi,2
poi_4,43.475641114193415,-80.54551246846131,poi,2
poi_5,43.46640090287045,-80.54505904260523,poi,2
poi_6,43.46786942814523,-80.54643576158256,poi,2
poi_7,43.46904037531255,-80.54740840462517,poi,2
poi_8,43.46934611745004,-80.54565032955692,poi,2
poi_9,43.47007647511532,-80.53230065035409,poi,2
poi_10,43.46532838084367,-80.52759417196795,poi,2
poi_11,43.47716908029693,-80.5182422473511,poi,2
poi_12,43.46617163702079,-80.5712884545685,poi,2
poi_13,43.4978999402583,-80.54443153870717,poi,2
poi_14,43.46429036043845,-80.52593579595681,poi,2
poi_15,43.46695785164111,-80.52776835418214,poi,2
poi_16,43.465165328823474,-80.53651075526685,poi,2
poi_17,43.46332739813947,-80.52840467618236,poi,2
poi_18,43.4671139413074,-80.52982330673198,poi,2
poi_19,43.46865752215,-80.52859251228436,poi,2
poi_20,43.46458121480441,-80.53733770764401,poi,2
poi_21,43.465412032208775,-80.53330422770053,poi,2
poi_22,43.46678014455102,-80.52973885472575,poi,2
poi_23,43.48241006690081,-80.48892560974986,poi,2
poi_24,43.45639578243528,-80.51232300015948,poi,2
poi_25,43.48251678515514,-80.52291511127329,poi,2
poi_26,43.46338047668028,-80.5390948645487,poi,2
poi_27,43.51683023711109,-80.49434214611203,poi,2
poi_28,43.46445460595009,-80.52685585450928,poi,2
poi_29,43.4791418462934,-80.60373801589786,poi,2
poi_30,43.459559681179634,-80.51093051138464,poi,2
