type_objectid,latitude,longitude,type,type_code
poi_31,43.48980864683993,-80.51273805806106,poi,2
poi_32,43.496680512464,-80.52668940763229,poi,2
poi_33,43.51683461527607,-80.49195351704466,poi,2
poi_34,43.46396145733413,-80.52237835474664,poi,2
poi_35,43.46430962400272,-80.5212004900619,poi,2
poi_36,43.463301034979054,-80.52016031802317,poi,2
poi_37,43.46414783395746,-80.53257856664409,poi,2
poi_38,43.466766429416985,-80.53280365457617,poi,2
poi_39,43.474064927024166,-80.51105805814306,poi,2
poi_40,43.488893693721806,-80.54462576824014,poi,2
poi_41,43.484414124191225,-80.49177490256942,poi,2
poi_42,43.49450045858822,-80.5382264016374,poi,2
poi_43,43.460257780834695,-80.51972912354256,poi,2
poi_44,43.48457187984219,-80.51820370081523,poi,2
poi_45,43.48584614631274,-80.49310295461362,poi,2
poi_46,43.519401877878366,-80.5022099528449,poi,2
poi_47,43.48681944803846,-80.49568717288065,poi,2
poi_48,43.46663161715626,-80.52865195321907,poi,2
poi_49,43.46625935335302,-80.53756695758605,poi,2
poi_50,43.46578805063391,-80.52603079727126,poi,2
poi_51,43.46722625268098,-80.5316260232787,poi,2
poi_52,43.4674167974076,-80.52813767372386,poi,2
poi_53,43.46491992160695,-80.52626284532869,poi,2
poi_54,43.470464337196674,-80.54209138591195,poi,2
poi_55,43.47362795444733,-80.52774064297022,poi,2
poi_56,43.4791706091034,-80.51833383780857,poi,2
poi_57,43.49803769055377,-80.52752707332769,poi,2
poi_58,43.463903761511936,-80.52525944230044,poi,2
poi_59,43.46349017097987,-80.52591976632155,poi,2
poi_60,43.451037299820605,-80.53856317698558,poi,2
poi_61,43.48458606202669,-80.585444494723,poi,2
poi_62,43.48649296000254,-80.57309478996359,poi,2
poi_63,43.47634887883838,-80.51706274222836,poi,2
poi_64,43.46535448065492,-80.52223131716799,poi,2
poi_65,43.49017092729238,-80.5301362716742,poi,2
poi_66,43.499064520812965,-80.53168770263835,poi,2
poi_67,43.48680900786634,-80.51637348366101,poi,2
poi_68,43.43841856741845,-80.5636616229516,poi,2
poi_69,43.446668756252016,-80.57372337597212,poi,2
poi_70,43.47997976383662,-80.54989471170904,poi,2
poi_71,43.519448859947445,-80.50047172023311,poi,2
poi_72,43.474583396790926,-80.57130037526095,poi,2
poi_73,43.488627530035664,-80.54468860289325,poi,2
poi_74,43.46594520120679,-80.52454196104296,poi,2
poi_75,43.514149211881225,-80.4980255823797,poi,2
poi_76,43.49520656862415,-80.54026734676586,poi,2
pworship_1,43.50553836747561,-80.55527714376376,pworship,3
pworship_2,43.501969369983286,-80.5544701933069,pworship,3
pworship_3,43.49063682036725,-80.56586700139812,pworship,3
pworship_4,43.49295150568025,-80.5504542597475,pworship,3
pworship_5,43.495104385632544,-80.50210103675954,pworship,3
pworship_6,43.50018267196731,-80.55404393337314,pworship,3
pworship_7,43.49453453646878,-80.5707172150003,pworship,3
pworship_8,43.449579795317234,-80.56261409947825,pworship,3
pworship_9,43.44831969152591,-80.56653782130537,pworship,3
pworship_10,43.48328582088848,-80.60710485590717,pworship,3
pworship_11,43.46125176987407,-80.51747272487773,pworship,3
pworship_12,43.47087090807406,-80.4986013631782,pworship,3
pworship_13,43.46385167789929,-80.50106453326491,pworship,3
pworship_14,43.465931692981925,-80.50295855351702,pworship,3
pworship_15,43.49363384617067,-80.51251745307722,pworship,3
pworship_16,43.50903922580545,-80.54231737969185,pworship,3
pworship_17,43.46494302307658,-80.51688757604596,pworship,3
pworship_18,43.46138452143446,-80.51925982569693,pworship,3
pworship_19,43.47408295576353,-80.5221381679543,pworship,3
pworship_20,43.4616345297107,-80.52191845729443,pworship,3
pworship_21,43.45595582323062,-80.52178109904052,pworship,3
pworship_22,43.4661338669048,-80.51873321690118,pworship,3
pworship_23,43.46769882741432,-80.52456000320306,pworship,3
pworship_24,43.46476757187604,-80.52508893964713,pworship,3
pworship_25,43.48371620823802,-80.52720663366978,pworship,3
pworship_26,43.45816075459036,-80.52691942445047,pworship,3
pworship_27,43.46189251039882,-80.5303165815291,pworship,3
pworship_28,43.4588643097719,-80.53109847858128,pworship,3
pworship_29,43.474568071475616,-80.53046604283266,pworship,3
pworship_30,43.45762471856209,-80.53584752589248,pworship,3
pworship_31,43.45712133010677,-80.54311166975108,pworship,3
pworship_32,43.47185805983216,-80.5108467246544,pworship,3
pworship_33,43.48568206083848,-80.602322509603,pworship,3
pworship_34,43.45909969342659,-80.53546995193487,pworship,3
pworship_35,43.46219773604248,-80.51627149338691,pworship,3
pworship_36,43.475563312779066,-80.53340655446144,pworship,3
pworship_37,43.46707307003308,-80.5453720693848,pworship,3
pworship_38,43.4757709192544,-80.50127418657996,pworship,3
pworship_39,43.48494979951516,-80.54760524992356,pworship,3
pworship_40,43.48211433305591,-80.50531618729242,pworship,3
pworship_41,43.47151562088597,-80.52373510126408,pworship,3
pworship_42,43.44298260167605,-80.55254177606776,pworship,3
pworship_43,43.490402264466496,-80.56639709535504,pworship,3
pworship_44,43.49336912839751,-80.51129052115486,pworship,3
pworship_45,43.489723794861135,-80.54380147968944,pworship,3
pworship_46,43.480035331808345,-80.50775418192258,pworship,3
recreation_1,43.4671507786903,-80.5320100779733,recreation,4
recreation_2,43.4640951002643,-80.5326245667567,recreation,4
recreation_3,43.4740477573145,-80.5110515138841,recreation,4
recreation_4,43.4857893560504,-80.493107312398,recreation,4
recreation_5,43.5194181218331,-80.5022179152192,recreation,4
recreation_6,43.4889024415718,-80.5446599376148,recreation,4
recreation_7,43.4877461533929,-80.5475183096939,recreation,4
recreation_8,43.4845680393694,-80.5177041501487,recreation,4
recreation_9,43.487469492768,-80.5212631387584,recreation,4
recreation_10,43.4954489552013,-80.5230697829198,recreation,4
recreation_11,43.4934293617034,-80.5021453974459,recreation,4
recreation_12,43.4938464492425,-80.4937909554158,recreation,4
recreation_13,43.4893700552007,-80.4895491395799,recreation,4
recreation_14,43.4881705051397,-80.4843044853565,recreation,4
recreation_15,43.4931827356355,-80.4828318573296,recreation,4
recreation_16,43.4999792765021,-80.49586495328,recreation,4
recreation_17,43.4999918209026,-80.4919891280066,recreation,4
recreation_18,43.5053184969965,-80.5058030537721,recreation,4
recreation_19,43.5079277025,-80.504863612191,recreation,4
recreation_20,43.5087807281229,-80.5014717554627,recreation,4
recreation_21,43.5152146761722,-80.5030648940347,recreation,4
recreation_22,43.5138154031518,-80.5011317527857,recreation,4
recreation_23,43.5154459994811,-80.5057676610884,recreation,4
recreation_24,43.5126865107188,-80.5152164292565,recreation,4
recreation_25,43.5086162516637,-80.5226839271007,recreation,4
recreation_26,43.4952914344361,-80.5169310511305,recreation,4
recreation_27,43.5002363789043,-80.5193293798855,recreation,4
recreation_28,43.4952328248457,-80.5077499431769,recreation,4
recreation_29,43.489515816327,-80.5015310398357,recreation,4
recreation_30,43.4704718698392,-80.5188134096724,recreation,4
recreation_31,43.4677405185276,-80.5111715559617,recreation,4
recreation_32,43.4633613646293,-80.5150265532331,recreation,4
recreation_33,43.4604850120435,-80.5242389806178,recreation,4
recreation_34,43.4553494087691,-80.5415494176055,recreation,4
recreation_35,43.4496479341016,-80.5502706549872,recreation,4
recreation_36,43.4438122899559,-80.5529296644571,recreation,4
recreation_37,43.447180974438,-80.5567784326549,recreation,4
recreation_38,43.4418207774323,-80.5498004700011,recreation,4
recreation_39,43.4470612411365,-80.5449573729435,recreation,4
recreation_40,43.4441048150902,-80.5622999210174,recreation,4
recreation_41,43.4502347249555,-80.5646598324875,recreation,4
recreation_42,43.4522444356908,-80.5632235824096,recreation,4
recreation_43,43.4518401500898,-80.5708526447745,recreation,4
recreation_44,43.4522068783495,-80.5732283921799,recreation,4
recreation_45,43.4488651735075,-80.5760953996829,recreation,4
recreation_46,43.4477517315988,-80.5704421064644,recreation,4
recreation_47,43.4569340296587,-80.5782882956628,recreation,4
recreation_48,43.4549197655305,-80.5836796515049,recreation,4
recreation_49,43.4566578552817,-80.5851672260112,recreation,4
recreation_50,43.469114952102,-80.5720492388561,recreation,4
recreation_51,43.4648055581233,-80.5857754073231,recreation,4
recreation_52,43.464129984876,-80.5875775563901,recreation,4
recreation_53,43.4644248668634,-80.5889102567597,recreation,4
recreation_54,43.4655644131082,-80.5874924568846,recreation,4
recreation_55,43.4657171344334,-80.5907206110611,recreation,4
recreation_56,43.464617236071,-80.5900822044889,recreation,4
recreation_57,43.4627860159368,-80.591020234981,recreation,4
recreation_58,43.4617882632771,-80.5882607983513,recreation,4
recreation_59,43.4613398638618,-80.5922139343883,recreation,4
recreation_60,43.4671962535989,-80.5922949963985,recreation,4
recreation_61,43.4732057682841,-80.5970624604675,recreation,4
recreation_62,43.472604816029,-80.5991945025941,recreation,4
recreation_63,43.4713595557737,-80.5858186541494,recreation,4
recreation_64,43.4748780958229,-80.5903745801766,recreation,4
recreation_65,43.473167457525,-80.6018193455277,recreation,4
recreation_66,43.4709274818993,-80.6016704918929,recreation,4
recreation_67,43.4622829498189,-80.6048358706632,recreation,4
recreation_68,43.4597509415777,-80.561517857134,recreation,4
recreation_69,43.4660079852986,-80.5582195950898,recreation,4
recreation_70,43.4787374349464,-80.5608910091929,recreation,4
recreation_71,43.4904849224039,-80.5630183796066,recreation,4
recreation_72,43.4864000765356,-80.5560894544395,recreation,4
recreation_73,43.4925625890676,-80.5672705941107,recreation,4
recreation_74,43.489068587987,-80.5885191300139,recreation,4
recreation_75,43.492723998751,-80.5757206176175,recreation,4
recreation_76,43.4972097603793,-80.5624494896687,recreation,4
recreation_77,43.4986041541325,-80.5708043834936,recreation,4
recreation_78,43.4982285479367,-80.5549632984465,recreation,4
recreation_79,43.4705983959435,-80.5969286233794,recreation,4
recreation_80,43.4719546932284,-80.5959227678691,recreation,4
recreation_81,43.4742598812367,-80.499676899658,recreation,4
recreation_82,43.4880081356645,-80.5521589847708,recreation,4
recreation_83,43.4865899169609,-80.6034748838123,recreation,4
recreation_84,43.501113680255,-80.4969501619611,recreation,4
recreation_85,43.4823230933958,-80.5081679807461,recreation,4
recreation_86,43.5050381269977,-80.5265685112704,recreation,4
recreation_87,43.472015087771,-80.5869917582366,recreation,4
recreation_88,43.5093405046926,-80.5037604647999,recreation,4
recreation_89,43.4793222526369,-80.5289828580066,recreation,4
recreation_90,43.4899885111148,-80.5686054880959,recreation,4
recreation_91,43.468003888551,-80.52557922175,recreation,4
recreation_92,43.4596145336792,-80.5688083205,recreation,4
recreation_93,43.4961599891169,-80.4950341304192,recreation,4
recreation_94,43.4627290366352,-80.5245187461934,recreation,4
recreation_95,43.484315318615,-80.5514529367158,recreation,4
recreation_96,43.4833724623061,-80.4967174040114,recreation,4
recreation_97,43.5016046199157,-80.5610970311786,recreation,4
recreation_98,43.4691626584615,-80.5950555982709,recreation,4
recreation_99,43.4901837302041,-80.5248260483056,recreation,4
recreation_100,43.4612114059406,-80.5212579967617,recreation,4
recreation_101,43.4916892164934,-80.5100540155689,recreation,4
recreation_102,43.466529355246,-80.5241926510919,recreation,4
recreation_103,43.4647065114951,-80.5785208720945,recreation,4
recreation_104,43.4565171468611,-80.550847790988,recreation,4
recreation_105,43.4634245103306,-80.5535978086619,recreation,4
recreation_106,43.4536804135437,-80.5733201015155,recreation,4
recreation_107,43.486028558767,-80.5449447230065,recreation,4
recreation_108,43.46341634547,-80.5891178379351,recreation,4
recreation_109,43.4546396784371,-80.5848481174434,recreation,4
recreation_110,43.4892369728651,-80.5280334613632,recreation,4
recreation_111,43.4642505020124,-80.5592251402964,recreation,4
recreation_112,43.5215494467552,-80.492544319309,recreation,4
recreation_113,43.4627309548315,-80.5883974024752,recreation,4
recreation_114,43.4615927316092,-80.5208653738025,recreation,4
recreation_115,43.4889533283621,-80.5185531155514,recreation,4
recreation_116,43.4729371432613,-80.586055490196,recreation,4
recreation_117,43.4587208362774,-80.5452230063061,recreation,4
recreation_118,43.5029998197032,-80.4933569182097,recreation,4
recreation_119,43.4568484488588,-80.5524312747852,recreation,4
recreation_120,43.4617904079739,-80.5459909033966,recreation,4
recreation_121,43.459636255462,-80.5215494593907,recreation,4
recreation_122,43.4766704403569,-80.5949849221587,recreation,4
recreation_123,43.4604666796194,-80.5725150621113,recreation,4
recreation_124,43.4604088774181,-80.5880571888083,recreation,4
recreation_125,43.4544694943176,-80.5813319854499,recreation,4
recreation_126,43.4928614802487,-80.4877708359831,recreation,4
recreation_127,43.4650170908312,-80.524319241859,recreation,4
recreation_128,43.5128775330091,-80.5093401910641,recreation,4
recreation_129,43.5141921746789,-80.5044264198914,recreation,4
recreation_130,43.489292403086,-80.5423464526812,recreation,4
recreation_131,43.457828727714,-80.5833377238359,recreation,4
recreation_132,43.4604735897756,-80.545466228965,recreation,4
recreation_133,43.463930273882,-80.5223817667375,recreation,4
recreation_134,43.4857272802981,-80.542471752715,recreation,4
recreation_135,43.466954653242,-80.5968811196923,recreation,4
recreation_136,43.4560821039319,-80.5860475396761,recreation,4
recreation_137,43.4906572946519,-80.5900305907694,recreation,4
recreation_138,43.4771586439153,-80.5035741685115,recreation,4
recreation_139,43.4614296115243,-80.5902020715816,recreation,4
recreation_140,43.4646034346853,-80.5673759880005,recreation,4
recreation_141,43.4864025991417,-80.4855785397017,recreation,4
recreation_142,43.4515593479164,-80.5793829837179,recreation,4
recreation_143,43.4885879920547,-80.5362055139558,recreation,4
recreation_144,43.4663385715887,-80.5794476106732,recreation,4
recreation_145,43.4892648422332,-80.5546603846773,recreation,4
recreation_146,43.4744036048799,-80.5062429175405,recreation,4
recreation_147,43.4757778236196,-80.5281030571286,recreation,4
recreation_148,43.4608586256463,-80.5973275484397,recreation,4
recreation_149,43.4705336776725,-80.603034914517,recreation,4
recreation_150,43.4796379903394,-80.514716284673,recreation,4
recreation_151,43.5141268610385,-80.5123645078871,recreation,4
recreation_152,43.4581386215358,-80.5842958956262,recreation,4
recreation_153,43.4913963336743,-80.5545845940399,recreation,4
recreation_154,43.489833654844,-80.5618034171095,recreation,4
recreation_155,43.4964533211657,-80.5650108998492,recreation,4
recreation_156,43.4859799310646,-80.5341770090096,recreation,4
recreation_157,43.484182196711,-80.5302073532778,recreation,4
recreation_158,43.4739109784689,-80.5022262089221,recreation,4
recreation_159,43.4646690889658,-80.5120246018059,recreation,4
recreation_160,43.458953449624,-80.53028035352,recreation,4
recreation_161,43.4550619825982,-80.5335129539194,recreation,4
recreation_162,43.4598452024505,-80.5459655690498,recreation,4
recreation_163,43.4607904258633,-80.552462682979,recreation,4
recreation_164,43.4583348503022,-80.5643908524628,recreation,4
recreation_165,43.4447751182537,-80.5604005230336,recreation,4
recreation_166,43.4452036497734,-80.553737488024,recreation,4
recreation_167,43.4505551778085,-80.5772864745098,recreation,4
recreation_168,43.4692506323429,-80.5755342965468,recreation,4
recreation_169,43.4916972457506,-80.5060996100121,recreation,4
recreation_170,43.4952970484795,-80.4941917311314,recreation,4
recreation_171,43.5071182305461,-80.5065758630042,recreation,4
recreation_172,43.5134007463905,-80.5044101103647,recreation,4
recreation_173,43.4521183828882,-80.5907915184807,recreation,4
